Field ID,Longitude,Latitude,Elevation (ft),Date,ppt (inches)
MIL_ERIE,-78.9286,42.4823,892,1/1/25,0.28
MIL_ERIE,-78.9286,42.4823,892,1/2/25,0.33
MIL_ERIE,-78.9286,42.4823,892,1/3/25,0.03
MIL_ERIE,-78.9286,42.4823,892,1/4/25,0.07
MIL_ERIE,-78.9286,42.4823,892,1/5/25,0
MIL_ERIE,-78.9286,42.4823,892,1/6/25,0
MIL_ERIE,-78.9286,42.4823,892,1/7/25,0.07
MIL_ERIE,-78.9286,42.4823,892,1/8/25,0.06
MIL_ERIE,-78.9286,42.4823,892,1/9/25,0
MIL_ERIE,-78.9286,42.4823,892,1/10/25,0
MIL_ERIE,-78.9286,42.4823,892,1/11/25,0.15
MIL_ERIE,-78.9286,42.4823,892,1/12/25,0
MIL_ERIE,-78.9286,42.4823,892,1/13/25,0
MIL_ERIE,-78.9286,42.4823,892,1/14/25,0.26
MIL_ERIE,-78.9286,42.4823,892,1/15/25,0.24
MIL_ERIE,-78.9286,42.4823,892,1/16/25,0.22
MIL_ERIE,-78.9286,42.4823,892,1/17/25,0.2
MIL_ERIE,-78.9286,42.4823,892,1/18/25,0
MIL_ERIE,-78.9286,42.4823,892,1/19/25,0.16
MIL_ERIE,-78.9286,42.4823,892,1/20/25,0.11
MIL_ERIE,-78.9286,42.4823,892,1/21/25,0.39
MIL_ERIE,-78.9286,42.4823,892,1/22/25,0.06
MIL_ERIE,-78.9286,42.4823,892,1/23/25,0
MIL_ERIE,-78.9286,42.4823,892,1/24/25,0.09
MIL_ERIE,-78.9286,42.4823,892,1/25/25,0.08
MIL_ERIE,-78.9286,42.4823,892,1/26/25,0
MIL_ERIE,-78.9286,42.4823,892,1/27/25,0
MIL_ERIE,-78.9286,42.4823,892,1/28/25,0.05
MIL_ERIE,-78.9286,42.4823,892,1/29/25,0.02
MIL_ERIE,-78.9286,42.4823,892,1/30/25,0.01
MIL_ERIE,-78.9286,42.4823,892,1/31/25,0
MIL_ERIE,-78.9286,42.4823,892,2/1/25,0.5
MIL_ERIE,-78.9286,42.4823,892,2/2/25,0
MIL_ERIE,-78.9286,42.4823,892,2/3/25,0.05
MIL_ERIE,-78.9286,42.4823,892,2/4/25,0
MIL_ERIE,-78.9286,42.4823,892,2/5/25,0
MIL_ERIE,-78.9286,42.4823,892,2/6/25,0.16
