,record_id,ag_prop_2022_1000,data_collector
0,DEG_DIE_HILL,0.3547228727556596,Janice
1,DEG_DIE_SWC,0.3783361947869518,Janice
2,DEG_FOU_WOOD,0.5619136960600375,Janice
3,DEG_PER_STRIP,0.4766209476309227,Janice
4,DEG_VIL,0.4909600997506234,Janice
5,DEG_YOU_BOCES,0.1989071038251366,Janice
6,DEG_YOU_JONES,0.4658878504672897,Janice
7,DEG_YOU_OSHEA,0.4551552019965684,Janice
0,SMI_CAN,0.4472136222910217,Erik
1,SMI_COB,0.3304741110417966,Erik
2,SMI_CRO,0.7003408738766657,Erik
3,SMI_DOU,0.4972282106559901,Erik
4,SMI_DUR,0.3265086206896552,Erik
5,SMI_HOF,0.2492516149361903,Erik
6,SMI_HOL,0.5720253752127495,Erik
7,SMI_JOH,0.3997841504779525,Erik
8,SMI_JOH_2,0.3430814221948591,Erik
9,SMI_KEL,0.5637065637065637,Erik
10,SMI_LAT,0.4946236559139785,Erik
11,SMI_MCC,0.4607707661599877,Erik
