field_id,collection_date,number_seeds,scm_seeds,seed_type,scm_larvae_sum,scm_pupae_sum
DEG_DIE_HILL,4/15/24,10,0,lima,0,0
DEG_DIE_HILL,4/15/24,10,0,corn,0,0
DEG_DIE_HILL,4/15/24,10,0,soy,0,0
DEG_DIE_HILL,4/29/24,10,0,corn,0,0
DEG_DIE_HILL,4/15/24,10,0,lima,0,0
DEG_DIE_HILL,4/15/24,10,0,corn,0,0
DEG_DIE_HILL,4/29/24,10,0,soy,0,0
DEG_DIE_HILL,4/29/24,10,0,soy,0,0
DEG_DIE_HILL,4/29/24,9,1,lima,1,0
DEG_DIE_HILL,4/29/24,10,0,corn,0,0
DEG_DIE_HILL,4/15/24,10,0,soy,0,0
DEG_DIE_HILL,5/9/24,10,1,lima,5,0
DEG_FOU,4/29/24,10,0,soy,0,0
DEG_FOU,4/29/24,10,0,lima,0,0
DEG_FOU,4/29/24,10,0,corn,0,0
DEG_FOU,4/29/24,9,0,lima,0,0
DEG_FOU,4/29/24,10,0,soy,0,0
DEG_FOU,4/29/24,10,0,corn,0,0
DEG_FOU,4/29/24,8,2,soy,6,0
DEG_PER,4/15/24,10,0,soy,0,0
DEG_PER,4/15/24,10,0,corn,0,0
DEG_PER,4/15/24,9,0,corn,0,0
DEG_PER,4/29/24,9,0,lima,0,0
DEG_PER,4/15/24,7,0,soy,0,0
DEG_PER,4/29/24,10,0,lima,1,0
DEG_PER,4/29/24,10,0,corn,0,0
DEG_PER,4/29/24,10,0,soy,0,0
DEG_PER,4/29/24,10,0,corn,0,0
DEG_PER,4/29/24,10,0,soy,0,0
DEG_VIL,4/15/24,10,0,soy,0,0
DEG_VIL,4/15/24,10,0,lima,0,0
DEG_VIL,4/15/24,10,0,soy,0,0
DEG_VIL,4/29/24,10,0,lima,0,0
DEG_VIL,4/29/24,10,0,lima,1,0
DEG_VIL,4/29/24,10,0,corn,0,0
DEG_VIL,4/29/24,9,0,soy,0,0
DEG_VIL,4/15/24,10,0,corn,0,0
DEG_VIL,4/29/24,10,0,corn,0,0
DEG_VIL,4/29/24,8,0,soy,0,0
DEG_VIL,4/15/24,8,0,lima,0,0
DEG_VIL,4/15/24,10,0,corn,0,0
DIP_CUR,4/16/24,8,0,corn,0,0
DIP_CUR,4/16/24,9,0,soy,0,0
DIP_CUR,4/16/24,10,0,soy,0,0
DIP_CUR,4/16/24,8,0,lima,0,0
DIP_CUR,4/16/24,8,0,lima,0,0
DIP_CUR,4/16/24,10,0,corn,0,0
DIP_CUR,5/1/24,10,0,lima,0,0
DIP_CUR,5/1/24,10,0,corn,1,0
DIP_CUR,5/1/24,10,0,soy,0,0
