record_id,date,tempMaxF,tempMinF,tempMeanF,gddFahrenheitSimple,gddFahrenheitSimpleCumsum
DEG_DIE_100,1/1/22,48,33,40.5,1.5,1.5
DEG_DIE_100,1/2/22,51,32,41.5,2.5,4
DEG_DIE_100,1/3/22,30,16,23,0,4
DEG_DIE_100,1/4/22,16,9,12.5,0,4
DEG_DIE_100,1/5/22,31,15,23,0,4
DEG_DIE_100,1/6/22,37,25,31,0,4
DEG_DIE_100,1/7/22,27,22,24.5,0,4
DEG_DIE_100,1/8/22,24,5,14.5,0,4
DEG_DIE_100,1/9/22,26,2,14,0,4
DEG_DIE_100,1/10/22,35,16,25.5,0,4
DEG_DIE_100,1/11/22,18,1,9.5,0,4
DEG_DIE_100,1/12/22,18,0,9,0,4
DEG_DIE_100,1/13/22,32,18,25,0,4
DEG_DIE_100,1/14/22,40,27,33.5,0,4
DEG_DIE_100,1/15/22,27,-7,10,0,4
DEG_DIE_100,1/16/22,2,-8,-3,0,4
DEG_DIE_100,1/17/22,29,-6,11.5,0,4
DEG_DIE_100,1/18/22,31,20,25.5,0,4
DEG_DIE_100,1/19/22,28,1,14.5,0,4
DEG_DIE_100,1/20/22,40,18,29,0,4
DEG_DIE_100,1/21/22,16,-3,6.5,0,4
DEG_DIE_100,1/22/22,12,-17,-2.5,0,4
DEG_DIE_100,1/23/22,21,-16,2.5,0,4
DEG_DIE_100,1/24/22,25,-2,11.5,0,4
DEG_DIE_100,1/25/22,25,-4,10.5,0,4
DEG_DIE_100,1/26/22,25,-6,9.5,0,4
DEG_DIE_100,1/27/22,16,-13,1.5,0,4
DEG_DIE_100,1/28/22,25,-6,9.5,0,4
DEG_DIE_100,1/29/22,25,0,12.5,0,4
DEG_DIE_100,1/30/22,10,-7,1.5,0,4
DEG_DIE_100,1/31/22,18,-7,5.5,0,4
DEG_DIE_100,2/1/22,25,-2,11.5,0,4
DEG_DIE_100,2/2/22,33,9,21,0,4
DEG_DIE_100,2/3/22,38,28,33,0,4
DEG_DIE_100,2/4/22,34,16,25,0,4
DEG_DIE_100,2/5/22,17,10,13.5,0,4
DEG_DIE_100,2/6/22,14,-9,2.5,0,4
DEG_DIE_100,2/7/22,26,3,14.5,0,4
DEG_DIE_100,2/8/22,36,10,23,0,4
DEG_DIE_100,2/9/22,31,5,18,0,4
DEG_DIE_100,2/10/22,44,11,27.5,0,4
DEG_DIE_100,2/11/22,40,22,31,0,4
DEG_DIE_100,2/12/22,47,24,35.5,0,4
DEG_DIE_100,2/13/22,39,15,27,0,4
DEG_DIE_100,2/14/22,17,-2,7.5,0,4
DEG_DIE_100,2/15/22,12,-4,4,0,4
DEG_DIE_100,2/16/22,24,-1,11.5,0,4
DEG_DIE_100,2/17/22,45,25,35,0,4
DEG_DIE_100,2/18/22,51,23,37,0,4
DEG_DIE_100,2/19/22,22,9,15.5,0,4
DEG_DIE_100,2/20/22,27,4,15.5,0,4
DEG_DIE_100,2/21/22,35,6,20.5,0,4
DEG_DIE_100,2/22/22,51,28,39.5,0.5,4.5
DEG_DIE_100,2/23/22,54,38,46,7,11.5
DEG_DIE_100,2/24/22,45,12,28.5,0,11.5
DEG_DIE_100,2/25/22,26,12,19,0,11.5
DEG_DIE_100,2/26/22,33,15,24,0,11.5
DEG_DIE_100,2/27/22,25,14,19.5,0,11.5
DEG_DIE_100,2/28/22,31,3,17,0,11.5
DEG_DIE_100,3/1/22,28,3,15.5,0,11.5
DEG_DIE_100,3/2/22,39,28,33.5,0,11.5
DEG_DIE_100,3/3/22,36,21,28.5,0,11.5
DEG_DIE_100,3/4/22,21,2,11.5,0,11.5
DEG_DIE_100,3/5/22,28,8,18,0,11.5
DEG_DIE_100,3/6/22,44,18,31,0,11.5
DEG_DIE_100,3/7/22,67,32,49.5,10.5,22
DEG_DIE_100,3/8/22,55,26,40.5,1.5,23.5
DEG_DIE_100,3/9/22,31,22,26.5,0,23.5
DEG_DIE_100,3/10/22,32,13,22.5,0,23.5
DEG_DIE_100,3/11/22,41,17,29,0,23.5
DEG_DIE_100,3/12/22,47,23,35,0,23.5
DEG_DIE_100,3/13/22,23,13,18,0,23.5
DEG_DIE_100,3/14/22,29,17,23,0,23.5
DEG_DIE_100,3/15/22,45,28,36.5,0,23.5
DEG_DIE_100,3/16/22,50,30,40,1,24.5
DEG_DIE_100,3/17/22,59,33,46,7,31.5
DEG_DIE_100,3/18/22,61,35,48,9,40.5
DEG_DIE_100,3/19/22,69,37,53,14,54.5
DEG_DIE_100,3/20/22,65,42,53.5,14.5,69
DEG_DIE_100,3/21/22,42,29,35.5,0,69
DEG_DIE_100,3/22/22,51,25,38,0,69
DEG_DIE_100,3/23/22,42,26,34,0,69
DEG_DIE_100,3/24/22,42,31,36.5,0,69
DEG_DIE_100,3/25/22,54,35,44.5,5.5,74.5
DEG_DIE_100,3/26/22,44,35,39.5,0.5,75
DEG_DIE_100,3/27/22,42,28,35,0,75
DEG_DIE_100,3/28/22,29,14,21.5,0,75
DEG_DIE_100,3/29/22,17,14,15.5,0,75
DEG_DIE_100,3/30/22,28,13,20.5,0,75
DEG_DIE_100,3/31/22,48,18,33,0,75
DEG_DIE_100,4/1/22,64,36,50,11,86
DEG_DIE_100,4/2/22,39,29,34,0,86
DEG_DIE_100,4/3/22,42,29,35.5,0,86
DEG_DIE_100,4/4/22,38,32,35,0,86
DEG_DIE_100,4/5/22,41,31,36,0,86
DEG_DIE_100,4/6/22,60,35,47.5,8.5,94.5
DEG_DIE_100,4/7/22,60,45,52.5,13.5,108
DEG_DIE_100,4/8/22,48,40,44,5,113
DEG_DIE_100,4/9/22,51,36,43.5,4.5,117.5
DEG_DIE_100,4/10/22,46,32,39,0,117.5
DEG_DIE_100,4/11/22,36,25,30.5,0,117.5
DEG_DIE_100,4/12/22,61,32,46.5,7.5,125
DEG_DIE_100,4/13/22,59,36,47.5,8.5,133.5
DEG_DIE_100,4/14/22,74,49,61.5,22.5,156
DEG_DIE_100,4/15/22,72,31,51.5,12.5,168.5
DEG_DIE_100,4/16/22,59,38,48.5,9.5,178
DEG_DIE_100,4/17/22,42,28,35,0,178
DEG_DIE_100,4/18/22,40,23,31.5,0,178
DEG_DIE_100,4/19/22,49,30,39.5,0.5,178.5
DEG_DIE_100,4/20/22,36,32,34,0,178.5
DEG_DIE_100,4/21/22,47,32,39.5,0.5,179
DEG_DIE_100,4/22/22,52,39,45.5,6.5,185.5
DEG_DIE_100,4/23/22,53,32,42.5,3.5,189
DEG_DIE_100,4/24/22,60,40,50,11,200
DEG_DIE_100,4/25/22,78,49,63.5,24.5,224.5
DEG_DIE_100,4/26/22,73,51,62,23,247.5
DEG_DIE_100,4/27/22,53,33,43,4,251.5
DEG_DIE_100,4/28/22,37,31,34,0,251.5
DEG_DIE_100,4/29/22,43,28,35.5,0,251.5
DEG_DIE_100,4/30/22,49,25,37,0,251.5
DEG_DIE_100,5/1/22,55,29,42,3,254.5
DEG_DIE_100,5/2/22,67,41,54,15,269.5
DEG_DIE_100,5/3/22,61,44,52.5,13.5,283
DEG_DIE_100,5/4/22,64,50,57,18,301
DEG_DIE_100,5/5/22,56,39,47.5,8.5,309.5
DEG_DIE_100,5/6/22,60,43,51.5,12.5,322
DEG_DIE_100,5/7/22,57,44,50.5,11.5,333.5
DEG_DIE_100,5/8/22,56,30,43,4,337.5
DEG_DIE_100,5/9/22,62,30,46,7,344.5
DEG_DIE_100,5/10/22,71,33,52,13,357.5
DEG_DIE_100,5/11/22,74,37,55.5,16.5,374
DEG_DIE_100,5/12/22,78,41,59.5,20.5,394.5
DEG_DIE_100,5/13/22,82,52,67,28,422.5
DEG_DIE_100,5/14/22,78,59,68.5,29.5,452
DEG_DIE_100,5/15/22,78,58,68,29,481
DEG_DIE_100,5/16/22,77,55,66,27,508
DEG_DIE_100,5/17/22,71,45,58,19,527
DEG_DIE_100,5/18/22,58,41,49.5,10.5,537.5
DEG_DIE_100,5/19/22,59,47,53,14,551.5
DEG_DIE_100,5/20/22,64,48,56,17,568.5
DEG_DIE_100,5/21/22,78,59,68.5,29.5,598
DEG_DIE_100,5/22/22,87,57,72,33,631
DEG_DIE_100,5/23/22,80,46,63,24,655
DEG_DIE_100,5/24/22,60,39,49.5,10.5,665.5
DEG_DIE_100,5/25/22,67,49,58,19,684.5
DEG_DIE_100,5/26/22,72,55,63.5,24.5,709
DEG_DIE_100,5/27/22,75,59,67,28,737
DEG_DIE_100,5/28/22,71,59,65,26,763
DEG_DIE_100,5/29/22,66,47,56.5,17.5,780.5
DEG_DIE_100,5/30/22,74,51,62.5,23.5,804
DEG_DIE_100,5/31/22,84,56,70,31,835
DEG_DIE_100,6/1/22,85,60,72.5,33.5,868.5
DEG_DIE_100,6/2/22,79,59,69,30,898.5
DEG_DIE_100,6/3/22,72,51,61.5,22.5,921
DEG_DIE_100,6/4/22,70,47,58.5,19.5,940.5
DEG_DIE_100,6/5/22,65,38,51.5,12.5,953
DEG_DIE_100,6/6/22,72,50,61,22,975
DEG_DIE_100,6/7/22,77,59,68,29,1004
DEG_DIE_100,6/8/22,67,50,58.5,19.5,1023.5
DEG_DIE_100,6/9/22,70,56,63,24,1047.5
