,Name,Corn,Sorghum,Soybeans,Sunflower,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Hops,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,Aquaculture,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Broccoli,Peppers,Greens,Plums,Squash,Dbl Crop WinWht/Corn,Pumpkins,Blueberries,Cabbage,Radishes,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Wheat_Prop,Forest_Prop,Buffer
0,POV_DUN,244,0,34,0,9,0,23,70,40,0,0,1325,5667,0,0,4,0,0,0,0,0,0,0,79,0,90,0,0,0,10,0,0,0,120,2429,370,111,21,310,23427,1918,8839,3621,6492,1606,155,192,0,0,0,0,0,0,0,2,8,0,0,57216,2040,39876,6492,3241,120,0.03565436241610738,0.6969379194630873,0.11346476510067115,0.05664499440715884,0.0020973154362416107,0.004264541387024609,0.0005942393736017897,0.0004019854586129754,0.5974552572706935,3000
1,DIP_FLE,12985,7,1255,0,5,0,356,20,170,0,0,8757,4253,7,0,25,0,0,2,1,0,0,0,201,2,104,0,0,19,22,0,0,0,6,1998,252,17,0,19,15989,888,1469,3281,3681,1599,175,38,0,0,0,0,0,2,0,0,1,0,0,57606,23875,23420,3681,2286,6,0.414453355553241,0.4065548727563101,0.0638995937923133,0.03968336631600875,0.00010415581710238516,0.2254105475124119,0.0217859250772489,0.00617991181474152,0.31847377009339306,3000
2,DIP_CUR,5746,62,271,0,4,0,30,8,28,2,0,4611,5856,3,0,7,0,0,3,0,0,0,0,10,0,248,0,0,2,3,8,0,0,28,1806,121,54,13,17,20713,2446,6838,2951,4387,880,129,10,0,0,0,0,0,0,0,5,2,0,0,57302,10815,33974,4387,2011,28,0.18873686782311264,0.5928937907926425,0.07655928239852013,0.03509476109036334,0.0004886391399951136,0.1002757320861401,0.004729328819238421,0.0005235419357090503,0.5234895815154794,3000
3,GAB_STE,8246,5,240,0,1,0,26,49,19,0,0,5226,3061,0,0,0,0,0,0,0,0,0,0,6,110,51,0,0,4,0,0,0,0,621,2866,1995,1497,468,619,14225,2867,181,5091,8580,1648,759,39,0,0,0,0,0,0,0,0,0,0,0,58500,13971,25390,8580,7445,621,0.2388205128205128,0.43401709401709404,0.14666666666666667,0.12726495726495726,0.010615384615384615,0.14095726495726496,0.0041025641025641026,0.00044444444444444447,0.2952649572649573,3000
4,SMI_CRO,5604,0,1862,0,56,96,1,5,143,0,0,1012,29065,0,0,20,0,0,0,0,0,0,0,2,2,111,0,0,0,0,2,0,0,39,1960,381,33,0,1,7183,461,1175,1428,6578,704,140,0,0,0,0,0,0,0,0,2,1,0,0,58067,8808,11092,6578,2375,39,0.15168684450720718,0.19102071744708699,0.11328293178569583,0.04090102812268586,0.0006716379354883152,0.0965092048840133,0.03206640604818572,1.7221485525341415e-05,0.15187628084798593,3000
5,SMI_CAN,5405,2,1120,2,0,0,2,5,662,0,0,6814,10787,0,0,35,0,0,11,0,0,0,0,4,0,120,0,0,1,0,0,0,0,499,2519,374,78,4,36,11957,955,987,3107,7950,4115,565,0,0,0,0,0,0,0,0,0,3,0,0,58119,14066,21722,7950,3011,499,0.24202068170477814,0.3737504086443332,0.13678831363237495,0.05180749840843786,0.008585832516044667,0.09299884719282851,0.01927080644883773,3.441215437292452e-05,0.23914726681463894,3000
6,SMI_KEL,15123,4,2390,0,0,4,3,136,127,0,0,956,13877,0,0,27,0,0,2,0,0,0,0,2,0,356,0,0,1,0,10,0,0,2014,2929,1122,456,20,10,6851,1242,1655,3687,3579,1371,328,0,0,0,0,0,0,0,0,0,0,0,0,58282,18785,15144,3579,4537,2014,0.322312206170001,0.25984008784873547,0.0614083250403212,0.0778456470265262,0.03455612367454789,0.2594797707697059,0.04100751518479119,5.1473868432792285e-05,0.1672557564942864,3000
7,SMI_COB,3101,3,86,0,1,0,0,18,9,0,0,1741,11803,0,0,2,11,0,0,0,0,0,0,0,0,61,0,0,0,2,0,0,0,132,4698,3318,1662,404,31,20174,1326,3865,819,3596,755,102,0,0,0,0,0,0,0,0,0,3,0,0,57723,4977,27072,3596,10113,132,0.08622212982693207,0.4689984928018294,0.06229752438369454,0.17519879424146353,0.0022867834312145937,0.053722086516639816,0.0014898740536701141,0.0,0.439426225248168,3000
8,SMI_DOU,4422,0,1085,0,20,0,8,2,88,0,0,2978,13651,0,0,17,0,0,0,0,0,0,0,3,2,334,0,0,0,0,2,0,0,1014,6085,2857,1979,423,8,14588,648,702,2983,3922,533,103,2,0,0,0,0,0,0,0,0,0,0,0,58459,8629,19565,3922,11352,1014,0.14760772507227288,0.334679005798936,0.06708975521305531,0.1941873791888332,0.01734549000153954,0.07564275817239433,0.018560016421765684,0.0001368480473494244,0.2726355223318907,3000
9,SMI_MCC,6681,8,1532,0,1,0,18,35,59,0,0,2785,16499,2,0,3,1,0,3,0,0,0,0,41,0,404,0,0,0,0,0,0,0,65,1898,238,36,4,5,13394,1061,702,4867,7124,950,154,2,0,0,0,0,0,0,0,0,0,0,0,58572,11171,21133,7124,2181,65,0.1907225295362972,0.3608037970361265,0.12162808167725193,0.03723622208563819,0.001109745270777846,0.11406474083179677,0.026155842382025542,0.00030731407498463427,0.2587755241412279,3000
