,Name,Corn,Sorghum,Soybeans,Sunflower,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Plums,Squash,Dbl Crop WinWht/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Wheat_Prop,Forest_Prop,Buffer
0,POV_DUN,114,0,7,0,6,0,22,67,11,0,0,860,2858,0,0,4,0,0,0,0,0,0,29,0,53,0,0,0,8,0,0,96,1499,246,72,8,287,8662,1134,3732,1874,2888,647,52,191,0,0,0,0,2,4,0,25433,1325,16388,2888,2112,96,0.05209766838359611,0.6443596901663193,0.11355325757873629,0.08304171745370188,0.003774623520622813,0.00448236543073959,0.00027523296504541346,0.0008650178901427279,0.5319073644477648,2000
1,DIP_FLE,7011,0,420,0,0,0,43,4,80,0,0,3357,2854,7,0,11,0,0,0,1,0,0,109,0,25,0,0,8,13,0,0,2,1120,177,17,0,10,5554,431,626,1263,1647,746,65,7,0,0,2,0,0,1,0,25611,11074,8695,1647,1324,2,0.4323923314200929,0.33950255749482644,0.06430830502518449,0.0516965366444106,7.809144508219124e-05,0.2737495607356214,0.016399203467260162,0.0016789660692671118,0.25813127171918315,2000
2,DIP_CUR,4304,62,199,0,1,0,26,0,11,2,0,3987,3863,1,0,7,0,0,3,0,0,0,2,0,50,0,0,0,1,1,0,10,1095,97,40,10,15,6179,322,1392,1191,2177,331,71,10,0,0,0,0,5,0,0,25465,8622,9501,2177,1257,10,0.33858236795601804,0.3731003337914785,0.08548988808168073,0.0493618692322796,0.00039269585705870805,0.16901629687806793,0.00781464755546829,0.0010210092283526409,0.30995483997643825,2000
3,GAB_STE,3626,0,59,0,0,0,23,6,2,0,0,2361,963,0,0,0,0,0,0,0,0,0,2,8,18,0,0,3,0,0,0,263,583,344,93,3,58,8395,1800,105,2396,3946,551,385,6,0,0,0,0,0,0,0,25999,6096,13690,3946,1081,263,0.23447055655986768,0.5265587137966845,0.1517750682718566,0.0415785222508558,0.010115773683603215,0.1394669025731759,0.0022693180506942576,0.0008846494095926767,0.39616908342628565,2000
4,SMI_CRO,1679,0,1624,0,56,96,0,5,120,0,0,429,13572,0,0,11,0,0,0,0,0,0,0,2,65,0,0,0,0,2,0,39,780,190,21,0,1,2599,231,598,515,2723,372,74,0,0,0,0,0,2,0,0,25806,4026,4390,2723,992,39,0.15601023017902813,0.17011547702084787,0.10551809656668992,0.038440672711772456,0.0015112764473378284,0.06506238859180036,0.06293110129427265,0.0,0.13283732465318143,2000
5,SMI_CAN,2910,0,710,2,0,0,0,3,489,0,0,3744,3626,0,0,2,0,0,4,0,0,0,3,0,58,0,0,1,0,0,0,154,1295,254,53,4,35,5556,168,262,1253,3028,1904,317,0,0,0,0,0,0,0,0,25835,7868,9495,3028,1641,154,0.30454809367137603,0.367524675827366,0.11720534159086511,0.06351848267853687,0.005960905748016257,0.11263789432939811,0.02748209792916586,0.0,0.23170118056899555,2000
6,SMI_KEL,8912,0,704,0,0,4,3,35,123,0,0,598,7277,0,0,0,0,0,0,0,0,0,0,0,199,0,0,1,0,0,0,423,1084,484,195,3,3,1900,433,508,1354,1397,177,88,0,0,0,0,0,0,0,0,25905,10380,4463,1397,1769,423,0.40069484655471915,0.17228334298397993,0.053927813163481955,0.06828797529434472,0.016328894035900404,0.34402624975873386,0.027176220806794056,0.00011580775911986103,0.1096699478865084,2000
7,SMI_COB,2040,3,70,0,0,0,0,2,2,0,0,1245,5955,0,0,2,11,0,0,0,0,0,0,0,48,0,0,0,0,0,0,12,2152,1860,714,178,16,7407,380,1070,407,1674,356,50,0,0,0,0,0,0,0,0,25654,3375,9686,1674,4920,12,0.13155843143369456,0.37756295314570826,0.0652529819911125,0.1917829578233414,0.0004677633117642473,0.07951976299992204,0.0027286193186247757,0.0,0.34524830435799486,2000
8,SMI_DOU,1785,0,163,0,3,0,7,2,81,0,0,1667,8083,0,0,15,0,0,0,0,0,0,3,2,100,0,0,0,0,2,0,419,2822,1330,1148,276,5,4492,132,170,1185,1943,110,38,2,0,0,0,0,0,0,0,25985,3732,6132,1943,5581,419,0.14362131999230326,0.23598229747931498,0.07477390802385991,0.21477775639792188,0.016124687319607464,0.06869347700596498,0.0062728497209928805,0.00026938618433711755,0.18449105253030595,2000
9,SMI_MCC,3501,2,815,0,1,0,18,23,35,0,0,1482,8290,2,0,0,0,0,3,0,0,0,0,0,189,0,0,0,0,0,0,13,796,74,6,0,0,4846,110,128,2118,3360,160,58,2,0,0,0,0,0,0,0,26032,5884,7420,3360,876,13,0.22602950215119852,0.28503380454824834,0.1290719114935464,0.033650891210817456,0.0004993853718500308,0.13448832206515057,0.03130762138905962,0.0006914566687154271,0.1952980946527351,2000
