record_id,date,tempMaxF,tempMinF,tempMeanF,gddFahrenheitSimple,gddFahrenheitSine,gddFahrenheitSimpleCumsum,gddFahrenheitSineCumSum,tempMaxC,tempMinC,tempMeanC,gddCelsiusSimple,gddCelsiusSine,gddCelsiusSimpleCumSum,gddCelsiusSineCumSum
DEG_DIE_100,1/1/22,48,33,40.5,1.5,3.186466914,1.5,3.186466914,8.888888889,0.555555556,4.722222222,0.833333333,1.770259397,0.833333333,1.770259397
DEG_DIE_100,1/2/22,51,32,41.5,2.5,4.380855552,4,7.567322466,10.55555556,0,5.277777778,1.388888889,2.43380864,2.222222222,4.204068036
DEG_DIE_100,1/3/22,30,16,23,0,0,4,7.567322466,-1.111111111,-8.888888889,-5,0,0,2.222222222,4.204068036
DEG_DIE_100,1/4/22,16,9,12.5,0,0,4,7.567322466,-8.888888889,-12.77777778,-10.83333333,0,0,2.222222222,4.204068036
DEG_DIE_100,1/5/22,31,15,23,0,0,4,7.567322466,-0.555555556,-9.444444444,-5,0,0,2.222222222,4.204068036
DEG_DIE_100,1/6/22,37,25,31,0,0,4,7.567322466,2.777777778,-3.888888889,-0.555555556,0,0,2.222222222,4.204068036
DEG_DIE_100,1/7/22,27,22,24.5,0,0,4,7.567322466,-2.777777778,-5.555555556,-4.166666667,0,0,2.222222222,4.204068036
DEG_DIE_100,1/8/22,24,5,14.5,0,0,4,7.567322466,-4.444444444,-15,-9.722222222,0,0,2.222222222,4.204068036
DEG_DIE_100,1/9/22,26,2,14,0,0,4,7.567322466,-3.333333333,-16.66666667,-10,0,0,2.222222222,4.204068036
DEG_DIE_100,1/10/22,35,16,25.5,0,0,4,7.567322466,1.666666667,-8.888888889,-3.611111111,0,0,2.222222222,4.204068036
DEG_DIE_100,1/11/22,18,1,9.5,0,0,4,7.567322466,-7.777777778,-17.22222222,-12.5,0,0,2.222222222,4.204068036
DEG_DIE_100,1/12/22,18,0,9,0,0,4,7.567322466,-7.777777778,-17.77777778,-12.77777778,0,0,2.222222222,4.204068036
DEG_DIE_100,1/13/22,32,18,25,0,0,4,7.567322466,0,-7.777777778,-3.888888889,0,0,2.222222222,4.204068036
DEG_DIE_100,1/14/22,40,27,33.5,0,0.120094744,4,7.68741721,4.444444444,-2.777777778,0.833333333,0,0.066719302,2.222222222,4.270787339
DEG_DIE_100,1/15/22,27,-7,10,0,0,4,7.68741721,-2.777777778,-21.66666667,-12.22222222,0,0,2.222222222,4.270787339
DEG_DIE_100,1/16/22,2,-8,-3,0,0,4,7.68741721,-16.66666667,-22.22222222,-19.44444444,0,0,2.222222222,4.270787339
DEG_DIE_100,1/17/22,29,-6,11.5,0,0,4,7.68741721,-1.666666667,-21.11111111,-11.38888889,0,0,2.222222222,4.270787339
DEG_DIE_100,1/18/22,31,20,25.5,0,0,4,7.68741721,-0.555555556,-6.666666667,-3.611111111,0,0,2.222222222,4.270787339
DEG_DIE_100,1/19/22,28,1,14.5,0,0,4,7.68741721,-2.222222222,-17.22222222,-9.722222222,0,0,2.222222222,4.270787339
DEG_DIE_100,1/20/22,40,18,29,0,0.093484809,4,7.780902019,4.444444444,-7.777777778,-1.666666667,0,0.051936005,2.222222222,4.322723344
DEG_DIE_100,1/21/22,16,-3,6.5,0,0,4,7.780902019,-8.888888889,-19.44444444,-14.16666667,0,0,2.222222222,4.322723344
DEG_DIE_100,1/22/22,12,-17,-2.5,0,0,4,7.780902019,-11.11111111,-27.22222222,-19.16666667,0,0,2.222222222,4.322723344
DEG_DIE_100,1/23/22,21,-16,2.5,0,0,4,7.780902019,-6.111111111,-26.66666667,-16.38888889,0,0,2.222222222,4.322723344
DEG_DIE_100,1/24/22,25,-2,11.5,0,0,4,7.780902019,-3.888888889,-18.88888889,-11.38888889,0,0,2.222222222,4.322723344
DEG_DIE_100,1/25/22,25,-4,10.5,0,0,4,7.780902019,-3.888888889,-20,-11.94444444,0,0,2.222222222,4.322723344
DEG_DIE_100,1/26/22,25,-6,9.5,0,0,4,7.780902019,-3.888888889,-21.11111111,-12.5,0,0,2.222222222,4.322723344
DEG_DIE_100,1/27/22,16,-13,1.5,0,0,4,7.780902019,-8.888888889,-25,-16.94444444,0,0,2.222222222,4.322723344
DEG_DIE_100,1/28/22,25,-6,9.5,0,0,4,7.780902019,-3.888888889,-21.11111111,-12.5,0,0,2.222222222,4.322723344
DEG_DIE_100,1/29/22,25,0,12.5,0,0,4,7.780902019,-3.888888889,-17.77777778,-10.83333333,0,0,2.222222222,4.322723344
DEG_DIE_100,1/30/22,10,-7,1.5,0,0,4,7.780902019,-12.22222222,-21.66666667,-16.94444444,0,0,2.222222222,4.322723344
DEG_DIE_100,1/31/22,18,-7,5.5,0,0,4,7.780902019,-7.777777778,-21.66666667,-14.72222222,0,0,2.222222222,4.322723344
DEG_DIE_100,2/1/22,25,-2,11.5,0,0,4,7.780902019,-3.888888889,-18.88888889,-11.38888889,0,0,2.222222222,4.322723344
DEG_DIE_100,2/2/22,33,9,21,0,0,4,7.780902019,0.555555556,-12.77777778,-6.111111111,0,0,2.222222222,4.322723344
DEG_DIE_100,2/3/22,38,28,33,0,0,4,7.780902019,3.333333333,-2.222222222,0.555555556,0,0,2.222222222,4.322723344
DEG_DIE_100,2/4/22,34,16,25,0,0,4,7.780902019,1.111111111,-8.888888889,-3.888888889,0,0,2.222222222,4.322723344
DEG_DIE_100,2/5/22,17,10,13.5,0,0,4,7.780902019,-8.333333333,-12.22222222,-10.27777778,0,0,2.222222222,4.322723344
DEG_DIE_100,2/6/22,14,-9,2.5,0,0,4,7.780902019,-10,-22.77777778,-16.38888889,0,0,2.222222222,4.322723344
DEG_DIE_100,2/7/22,26,3,14.5,0,0,4,7.780902019,-3.333333333,-16.11111111,-9.722222222,0,0,2.222222222,4.322723344
DEG_DIE_100,2/8/22,36,10,23,0,0,4,7.780902019,2.222222222,-12.22222222,-5,0,0,2.222222222,4.322723344
DEG_DIE_100,2/9/22,31,5,18,0,0,4,7.780902019,-0.555555556,-15,-7.777777778,0,0,2.222222222,4.322723344
DEG_DIE_100,2/10/22,44,11,27.5,0,0.842526769,4,8.623428788,6.666666667,-11.66666667,-2.5,0,0.468070427,2.222222222,4.790793771
DEG_DIE_100,2/11/22,40,22,31,0,0.102680969,4,8.726109757,4.444444444,-5.555555556,-0.555555556,0,0.057044983,2.222222222,4.847838754
DEG_DIE_100,2/12/22,47,24,35.5,0,2.08338825,4,10.80949801,8.333333333,-4.444444444,1.944444444,0,1.157437916,2.222222222,6.00527667
DEG_DIE_100,2/13/22,39,15,27,0,0.003043287,4,10.81254129,3.888888889,-9.444444444,-2.777777778,0,0.001690715,2.222222222,6.006967385
DEG_DIE_100,2/14/22,17,-2,7.5,0,0,4,10.81254129,-8.333333333,-18.88888889,-13.61111111,0,0,2.222222222,6.006967385
DEG_DIE_100,2/15/22,12,-4,4,0,0,4,10.81254129,-11.11111111,-20,-15.55555556,0,0,2.222222222,6.006967385
